기관명,종류,도로명주소,위도,경도,대표전화번호,데이터기준일
서울아이브치과의원,치과의원,강원특별자치도 춘천시 우두1길 101 (우두동),37.86439364,127.7206899,033-252-2080,2025-02-10
청춘플란트치과의원,치과의원,"강원특별자치도 춘천시 경춘로 2364, 강남병원 4층 (온의동)",37.8551064,127.7490251,033-910-0628,2025-02-10
여름치과의원,치과의원,"강원특별자치도 춘천시 사우로 38, 충목빌딩 3층 (사농동)",37.85489572,127.7269594,0507-1424-1575,2025-02-10
봄봄소아치과의원,치과의원,"강원특별자치도 춘천시 안마산로 99, 3층 302호 (퇴계동)",37.87757509,127.7520015,033-255-2275,2025-02-10
메디플란트치과의원,치과의원,"강원특별자치도 춘천시 후석로 352, 3층 302호 (후평동)",37.85649915,127.7293268,033-256-3636,2025-02-10
365시에스치과의원,치과의원,"강원특별자치도 춘천시 후석로 294, 4층 1,2호 (후평동)",37.87738656,127.736975,033-244-7528,2025-02-10
중앙치과의원,치과의원,"강원특별자치도 춘천시 중앙로 104, 5층 (낙원동)",37.89317282,127.7556305,033-255-2888,2025-02-10
연세하이브치과의원,치과의원,"강원특별자치도 춘천시 중앙로 55, 4,5층 (중앙로2가)",37.86753246,127.7208393,033-818-2875,2025-02-10
춘천어린이치과의원,치과의원,"강원특별자치도 춘천시 춘천로 34-1, 1,2층 (퇴계동)",37.86521146,127.7328564,033-256-2888,2025-02-10
시원치과의원,치과의원,"강원특별자치도 춘천시 안마산로 111, 3층 (퇴계동)",37.87727339,127.7233455,033-244-2080,2025-02-10
온유치과의원,치과의원,"강원특별자치도 춘천시 금강로 72, 6층 (조양동)",37.8760574,127.7198683,033-255-2875,2025-02-10
김경수치과의원,치과의원,"강원특별자치도 춘천시 충열로 1, 3층 (우두동)",37.855637,127.7286269,033-242-2879,2025-02-10
더봄치과의원,치과의원,"강원특별자치도 춘천시 방송길 104, 2,3층 (온의동)",37.90112293,127.7294686,033-254-2800,2025-02-10
한숲스마트치과의원,치과의원,"강원특별자치도 춘천시 안마산로 109, 3층 (퇴계동)",37.87816409,127.7247142,033-243-2275,2025-02-10
장학우리치과의원,치과의원,"강원특별자치도 춘천시 동면 춘천순환로 609, 2층",37.88008384,127.7276265,033-256-2879,2025-02-10
이롬치과의원,치과의원,"강원특별자치도 춘천시 지석로 85, 강남프라자 3층 303호 (석사동)",37.85114959,127.7448623,033-910-0033,2025-02-10
내이플란트치과의원,치과의원,"강원특별자치도 춘천시 후석로 18, 하나빌딩 3층 (석사동)",37.8770471,127.736055,033-264-7528,2025-02-10
탑치과의원,치과의원,"강원특별자치도 춘천시 춘천순환로 46, 2층 (석사동)",37.90892058,127.7335637,033-263-2275,2025-02-10
봄치과의원,치과의원,강원특별자치도 춘천시 후석로 314 (후평동),37.88008384,127.7276265,033-253-2877,2025-02-10
바른서울효치과교정과치과의원,치과의원,"강원특별자치도 춘천시 중앙로 55, 6층 (중앙로2가)",37.85660939,127.7400854,033-252-7528,2025-02-10
서울부부치과의원,치과의원,"강원특별자치도 춘천시 금강로 59, 4층 (조양동)",37.86759595,127.7230221,033-241-2275,2025-02-10
서울효치과의원,치과의원,"강원특별자치도 춘천시 중앙로 55, 7층 (중앙로2가)",37.86187646,127.7316644,033-254-7528,2025-02-10
NY드림치과의원,치과의원,"강원특별자치도 춘천시 지석로 80, 5층 (퇴계동)",37.87912496,127.7292619,033-269-7555,2025-02-10
바른이치과교정과치과의원,치과의원,"강원특별자치도 춘천시 영서로 2341, 5층 (온의동)",37.86521146,127.7328564,033-253-2875,2025-02-10
늘좋은치과의원,치과의원,"강원특별자치도 춘천시 춘천로 197-1, 4층 (효자동, 벨몽드건물)",37.87886636,127.7289032,033-256-7528,2025-02-10
원필준치과교정과치과의원,치과의원,"강원특별자치도 춘천시 금강로 69, 6층 (조양동)",37.8824849,127.7478134,033-252-2332,2025-02-10
본수치과의원,치과의원,"강원특별자치도 춘천시 후석로 328, 6층 (후평동)",37.88038355,127.7498741,033-252-7525,2025-02-10
화이트치과의원,치과의원,강원특별자치도 춘천시 중앙로 138 (소양로4가),37.85049261,127.7437519,033-255-2825,2025-02-10
연세하루치과의원,치과의원,"강원특별자치도 춘천시 경춘로 2348, 3층 (온의동)",37.87916276,127.7507662,033-256-1875,2025-02-10
메이시스치과의원,치과의원,"강원특별자치도 춘천시 퇴계로93번길 4-8, 2층 (퇴계동, 이삭빌딩)",37.8805122,127.7500982,033-255-2003,2025-02-10
서울미래치과의원,치과의원,"강원특별자치도 춘천시 후석로186번길 16, 2층 (석사동)",37.86730637,127.7537965,033-262-6369,2025-02-10
하나큐치과의원,치과의원,"강원특별자치도 춘천시 후석로 355, 2층 (후평동)",37.87997528,127.7285412,033-256-1928,2025-02-10
서울우리치과의원,치과의원,강원특별자치도 춘천시 퇴계농공로 20 (석사동),37.8686077,127.7180917,033-264-4875,2025-02-10
다나치과의원,치과의원,"강원특별자치도 춘천시 금강로 67-1, 2층 (조양동)",37.85402441,127.73612,033-254-9111,2025-02-10
한국건강관리협회 건강증진치과의원,치과의원,"강원특별자치도 춘천시 남춘로 50, 한국건강관리협회 신청사 3층 (효자동)",37.85162308,127.7443304,033-260-0800,2025-02-10
라임치과의원,치과의원,강원특별자치도 춘천시 후석로186번길 14 (석사동),37.86302472,127.7196787,033-264-4004,2025-02-10
하이치과의원,치과의원,"강원특별자치도 춘천시 김유정로 1875, B관 5층 (퇴계동)",37.86032141,127.7286133,033-264-2877,2025-02-10
구구플란트치과의원,치과의원,"강원특별자치도 춘천시 영서로 2777, 3층 (우두동)",37.90115811,127.7284725,033-244-9901,2025-02-10
연세새로이치과의원,치과의원,"강원특별자치도 춘천시 퇴계로105번길 5, 2층 (퇴계동)",37.85258264,127.7457623,033-264-2275,2025-02-10
백미치과의원,치과의원,강원특별자치도 춘천시 후석로326번길 5 (후평동),37.86732228,127.7540574,033-243-2752,2025-02-10
유디중앙로치과의원,치과의원,"강원특별자치도 춘천시 중앙로 59 (중앙로2가,KCC빌딩 5층 501)",37.85095435,127.7610632,033-252-6226,2025-02-10
스마일100 치과의원,치과의원,강원특별자치도 춘천시 방송길 84 (온의동),37.85210835,127.7444497,033-251-9922,2025-02-10
서울케이스웨스턴치과교정과치과의원,치과의원,"강원특별자치도 춘천시 퇴계농공로 12 (석사동, 로얄프라자 601호)",37.86181443,127.7319812,033-263-7585,2025-02-10
연세이튼치과의원,치과의원,강원특별자치도 춘천시 동내면 춘천순환로 58,37.86777897,127.7204033,033-243-0030,2025-02-10
에뉴치과의원,치과의원,강원특별자치도 춘천시 중앙로 62 (중앙로2가),37.84816165,127.7378551,033-254-3692,2025-02-10
참좋은치과의원,치과의원,강원특별자치도 춘천시 영서로 2195 (퇴계동),37.8719286,127.7532739,033-251-7528,2025-02-10
춘천클라인치과의원,치과의원,"강원특별자치도 춘천시 금강로 69, 5층 (조양동)",37.87970091,127.7272179,033-254-0002,2025-02-10
김미소치과의원,치과의원,강원특별자치도 춘천시 안마산로 224-1 (퇴계동),37.86830986,127.715874,033-264-2879,2025-02-10
우리부부치과의원,치과의원,"강원특별자치도 춘천시 춘천로 188, 4층 (효자동, 메가시티건물)",37.8798518,127.7267719,033-241-2900,2025-02-10
춘천교도소부속치과의원,치과의원,강원특별자치도 춘천시 동내면 신촌양지길 5,37.85597936,127.7393662,033-262-1332,2025-02-10
로덴치과의원,치과의원,강원특별자치도 춘천시 충열로 39 (우두동),37.87622627,127.7353381,033-241-2375,2025-02-10
춘천예치과의원,치과의원,"강원특별자치도 춘천시 영서로 2025, 3,4,5,6,7층 (석사동)",37.86773747,127.7163005,033-1544-2990,2025-02-10
e조은치과의원,치과의원,강원특별자치도 춘천시 영서로 2333 (온의동),37.84962725,127.7384208,033-242-2877,2025-02-10
서울수치과의원,치과의원,강원특별자치도 춘천시 동내면 공지로 76,37.8994666,127.732723,033-263-8863,2025-02-10
위드미치과의원,치과의원,강원특별자치도 춘천시 후석로 297 (후평동),37.87935126,127.7292395,033-242-2119,2025-02-10
이튼치과의원,치과의원,"강원특별자치도 춘천시 방송길 98, 4, 5층 (온의동)",37.87771656,127.7512592,033-251-0101,2025-02-10
메리트치과의원,치과의원,강원특별자치도 춘천시 지석로 29 (석사동),37.86426857,127.7205445,033-253-8275,2025-02-10
예당치과의원,치과의원,강원특별자치도 춘천시 후석로 22 (석사동),37.86830986,127.715874,033-262-1992,2025-02-10
강남S치과의원,치과의원,"강원특별자치도 춘천시 경춘로 2362, 4층 (온의동)",37.88119858,127.7266205,033-244-1640,2025-02-10
이하형치과의원,치과의원,강원특별자치도 춘천시 후석로 10 (석사동),37.88024504,127.7285257,033-264-2875,2025-02-10
유펜세란치과의원,치과의원,"강원특별자치도 춘천시 후석로 16, 3층 (석사동)",37.85645487,127.7398961,033-261-5081,2025-02-10
동아연세치과의원,치과의원,강원특별자치도 춘천시 후석로228번길 5 (후평동),37.8561319,127.7395491,033-244-2875,2025-02-10
심상현치과의원,치과의원,강원특별자치도 춘천시 시청길10번길 4-2 (조양동),37.87912496,127.7292619,033-244-2877,2025-02-10
연세바른치과의원,치과의원,"강원특별자치도 춘천시 퇴계농공로 22, 203-204호 (석사동)",37.87650268,127.7314695,033-263-2872,2025-02-10
연세아이나라치과의원,치과의원,"강원특별자치도 춘천시 금강로 69, 7층 (조양동)",37.87912496,127.7292619,033-244-8873,2025-02-10
사랑심는치과의원,치과의원,강원특별자치도 춘천시 후석로 12 (석사동),37.85504339,127.7503448,033-264-2804,2025-02-10
하나치과의원,치과의원,강원특별자치도 춘천시 후석로 326 (후평동),37.87903665,127.7263672,033-243-3993,2025-02-10
세정치과의원,치과의원,"강원특별자치도 춘천시 새롬공원길4번길 23, 201호 (석사동, 새순빌딩)",37.85025486,127.7488549,033-252-2875,2025-02-10
믿음치과의원,치과의원,강원특별자치도 춘천시 금강로 105 (운교동),37.87644002,127.7527169,033-244-0770,2025-02-10
미치과의원,치과의원,강원특별자치도 춘천시 영서로 2341 (온의동),37.8593963,127.7238988,033-252-2275,2025-02-10
한빛치과의원,치과의원,"강원특별자치도 춘천시 춘천로 316, 춘천더샵아파트 (후평동)",37.85675111,127.7402781,033-242-7528,2025-02-10
한솔치과의원,치과의원,강원특별자치도 춘천시 안마산로 219 (퇴계동),37.89851955,127.7317923,033-257-8275,2025-02-10
강수만치과의원,치과의원,강원특별자치도 춘천시 후석로 278 (후평동),37.85954687,127.7241003,033-254-2069,2025-02-10
한림치과의원,치과의원,강원특별자치도 춘천시 후석로 41 (석사동),37.85224065,127.7391414,033-261-2875,2025-02-10
동부연세치과의원,치과의원,강원특별자치도 춘천시 충열로 32 (우두동),37.85411236,127.7510429,033-255-5288,2025-02-10
윤석만치과의원,치과의원,강원특별자치도 춘천시 행촌로 27 (퇴계동),37.87902424,127.7288066,033-241-2876,2025-02-10
하얀나무치과의원,치과의원,"강원특별자치도 춘천시 중앙로67번길 18, 1동 3층 1301호 (죽림동, 브라운가)",37.88184493,127.7480337,033-264-0447,2025-02-10
연세이편한치과의원,치과의원,강원특별자치도 춘천시 춘주로 174 (퇴계동),37.87943326,127.7284479,033-241-2544,2025-02-10
올리브치과의원,치과의원,강원특별자치도 춘천시 행촌로 29 (퇴계동),37.85498705,127.728018,033-241-7528,2025-02-10
김성권치과의원,치과의원,강원특별자치도 춘천시 중앙로 69-1 (중앙로2가),37.85198964,127.7450998,033-251-7575,2025-02-10
이사랑치과의원,치과의원,강원특별자치도 춘천시 후석로 304 (후평동),37.85247311,127.7485025,033-256-7548,2025-02-10
연세치과의원,치과의원,강원특별자치도 춘천시 금강로 37 (소양로3가),37.87987556,127.7286585,033-241-2878,2025-02-10
허치과의원,치과의원,강원특별자치도 춘천시 금강로 64-1 (조양동),37.85360603,127.7375389,033-255-1029,2025-02-10
박대진치과의원,치과의원,"강원특별자치도 춘천시 후석로 120, 춘천 농협 유통센터 A동 3층 301호 (석사동)",37.86181443,127.7319812,033-256-2858,2025-02-10
에이플러스남강치과의원,치과의원,강원특별자치도 춘천시 지석로 11 (퇴계동),37.85121872,127.7441154,033-257-2875,2025-02-10
홍종대치과의원,치과의원,"강원특별자치도 춘천시 퇴계농공로 11, 3층 (석사동)",37.88007882,127.7502032,033-262-2875,2025-02-10
김영근치과의원,치과의원,강원특별자치도 춘천시 중앙로67번길 18 (죽림동),37.87838913,127.7513271,033-255-7528,2025-02-10
한베드로치과의원,치과의원,강원특별자치도 춘천시 춘주로 150 (퇴계동),37.86683342,127.7117387,033-252-6338,2025-02-10
전진학치과의원,치과의원,"강원특별자치도 춘천시 금강로 61, 2층 (조양동)",37.84923361,127.738398,033-253-4877,2025-02-10
김재원치과의원,치과의원,강원특별자치도 춘천시 금강로 70 (조양동),37.8784498,127.7250003,033-253-3979,2025-02-10
유영호치과의원,치과의원,강원특별자치도 춘천시 중앙로 76 (중앙로2가),37.85705566,127.7273689,033-252-3662,2025-02-10
경희마루한약국,한약국,"강원특별자치도 춘천시 안마산로 346, 1층 (석사동)",37.89778637,127.7637737,033-261-8882,2025-02-10
파크경희한의원,한의원,"강원특별자치도 춘천시 스포츠타운길 496, 온의수현빌딩 402호 (온의동)",37.86745046,127.7532998,033-244-7575,2025-02-10
강원한의원,한의원,"강원특별자치도 춘천시 남산면 강촌로 335, 1층",37.86317398,127.7389978,033-262-7589,2025-02-10
석사365한의원,한의원,"강원특별자치도 춘천시 후석로186번길 10-1, 3층 (석사동)",37.85844255,127.7414357,033-241-0365,2025-02-10
조은한의원,한의원,"강원특별자치도 춘천시 안마산로 222, 1층 (퇴계동)",37.87844856,127.7274612,033-261-1075,2025-02-10
황보한의원,한의원,"강원특별자치도 춘천시 춘천로185번길 12, 2층 (운교동)",37.86770715,127.7179677,033-255-7900,2025-02-10
부민한의원,한의원,"강원특별자치도 춘천시 퇴계농공로 22, 2층 205-B동호 (석사동)",37.8788441,127.7256,033-262-1900,2025-02-10
춘천한방한의원,한의원,강원특별자치도 춘천시 동면 춘천로 527-34,37.85317166,127.7112825,033-260-7000,2025-02-10
팔팔한의원,한의원,"강원특별자치도 춘천시 퇴계로105번길 5, 203호 (퇴계동)",37.85791199,127.7247271,033-264-1588,2025-02-10
이시형한의원,한의원,강원특별자치도 춘천시 마장길 71-8 (사농동),37.87755304,127.7245854,033-255-3386,2025-02-10
수한의원,한의원,"강원특별자치도 춘천시 안마산로 107-1, 3층 304호 (퇴계동)",37.85525528,127.7510211,033-242-2066,2025-02-10
옥산가한의원,한의원,"강원특별자치도 춘천시 춘천로17번길 37, 5층 (온의동)",37.86335196,127.7483454,033-256-3650,2025-02-10
보연당한의원,한의원,"강원특별자치도 춘천시 지석로 11, 1층 (퇴계동, 하나로마트(퇴계점))",37.88007882,127.7502032,033-262-1075,2025-02-10
강남세종한의원,한의원,"강원특별자치도 춘천시 동면 춘천로449번길 30-1, 4층",37.89493598,127.754073,033-244-1275,2025-02-10
오영기한의원,한의원,"강원특별자치도 춘천시 옛경춘로 616, 1,2층 (온의동)",37.87802642,127.7283944,033-252-6089,2025-02-10
중화당한의원,한의원,"강원특별자치도 춘천시 춘주로 89, 2층 (온의동)",37.8561319,127.7395491,033-251-8085,2025-02-10
다솜한의원,한의원,"강원특별자치도 춘천시 영서로 2341, 3층 (온의동)",37.90969864,127.7321738,033-256-6530,2025-02-10
중앙한의원,한의원,"강원특별자치도 춘천시 중앙로 91-1, 1층 (중앙로2가)",37.87850963,127.7344256,033-255-4210,2025-02-10
광동한의원,한의원,강원특별자치도 춘천시 공지로 224 (효자동),37.87923375,127.7286483,033-263-7553,2025-02-10
하늘체한의원,한의원,"강원특별자치도 춘천시 금강로 65, 3층 (조양동)",37.85121872,127.7441154,033-243-3233,2025-02-10
온누리한의원,한의원,강원특별자치도 춘천시 중앙로 84 (중앙로2가),37.8593963,127.7238988,033-253-7975,2025-02-10
경희진한의원,한의원,"강원특별자치도 춘천시 후석로 12, 3층 302호 (석사동)",37.88030227,127.7514329,033-256-7575,2025-02-10
소양한의원,한의원,"강원특별자치도 춘천시 영서로 2668-22, 1층 (소양로1가)",37.87625981,127.7546844,033-257-7080,2025-02-10
김형수한의원,한의원,"강원특별자치도 춘천시 후석로326번길 14, 3층 (후평동)",37.79128279,127.6452435,033-242-8825,2025-02-10
하늘봄한의원,한의원,강원특별자치도 춘천시 서부대성로 127 (운교동),37.87752998,127.7345582,033-242-1075,2025-02-10
발효명가 중화한의원,한의원,강원특별자치도 춘천시 후석로 11-8 (석사동),37.85108065,127.7452954,033-263-9889,2025-02-10
춘천한의원,한의원,"강원특별자치도 춘천시 퇴계농공로 20, 2층 203호 (석사동, 종로타워)",37.87956417,127.7290694,033-263-7975,2025-02-10
춘천후한의원,한의원,"강원특별자치도 춘천시 금강로 68-2, 5층 (조양동)",37.85706617,127.7393653,033-242-7510,2025-02-10
혜명한의원,한의원,"강원특별자치도 춘천시 후석로 326, 303호 (후평동)",37.87811066,127.7514668,033-241-3332,2025-02-10
춘천우리한의원,한의원,"강원특별자치도 춘천시 영서로 2779, 3층 (우두동)",37.8805122,127.7500982,033-255-6955,2025-02-10
거두리한의원,한의원,"강원특별자치도 춘천시 동내면 춘천순환로 64, 1,2층",37.86830986,127.715874,033-264-2625,2025-02-10
경희코스모스한의원,한의원,강원특별자치도 춘천시 지석로 89 (석사동),37.85569789,127.7455406,033-264-7510,2025-02-10
희한의원,한의원,강원특별자치도 춘천시 퇴계로 95 (퇴계동),37.85360603,127.7375389,033-261-2617,2025-02-10
정창우한의원,한의원,"강원특별자치도 춘천시 춘천로 197-1, 벨몽드마트 4층 (효자동)",37.8770471,127.736055,033-261-6211,2025-02-10
함소아한의원,한의원,"강원특별자치도 춘천시 퇴계로 188, 202,203호 (석사동)",37.8622364,127.719866,033-264-1065,2025-02-10
신맥한의원,한의원,강원특별자치도 춘천시 춘주로 203 (퇴계동),37.87712093,127.7516879,033-244-4859,2025-02-10
비담한의원,한의원,"강원특별자치도 춘천시 춘천로 316 (후평동, 포스코아파트상가 201호)",37.90134678,127.7284316,033-257-1243,2025-02-10
청담한의원,한의원,강원특별자치도 춘천시 후석로326번길 5 (후평동),37.87874529,127.7260324,033-256-1275,2025-02-10
으뜸한의원,한의원,강원특별자치도 춘천시 후만로 92 (후평동),37.85114959,127.7448623,033-243-7582,2025-02-10
유동한한의원,한의원,강원특별자치도 춘천시 퇴계농공로 12 (석사동),37.84937595,127.7389476,033-264-1005,2025-02-10
본한의원,한의원,강원특별자치도 춘천시 행촌로 27 (퇴계동),37.85162308,127.7443304,033-251-2728,2025-02-10
이종우한의원,한의원,"강원특별자치도 춘천시 후석로 289, 1층 (후평동)",37.89291906,127.7261923,033-253-1075,2025-02-10
희망동의보감한의원,한의원,"강원특별자치도 춘천시 후석로 22, 남부새마을금고석사지점 2층 (석사동)",37.90217001,127.7283851,033-263-1055,2025-02-10
삼화당한의원,한의원,강원특별자치도 춘천시 충열로 3 (우두동),37.90093459,127.7295464,033-244-4375,2025-02-10
미가람부부한의원,한의원,"강원특별자치도 춘천시 지석로 85, 202호 (석사동)",37.85700734,127.7389502,033-253-1079,2025-02-10
이광호한의원,한의원,강원특별자치도 춘천시 퇴계로 207 (석사동),37.85844255,127.7414357,033-262-7510,2025-02-10
대광당김영두한의원,한의원,"강원특별자치도 춘천시 춘천로 242, 1~2층 (효자동)",37.85210835,127.7444497,033-242-1700,2025-02-10
남궁현 한의원,한의원,강원특별자치도 춘천시 안마산로 225 (퇴계동),37.87673827,127.7343186,033-262-1080,2025-02-10
봄내한의원,한의원,강원특별자치도 춘천시 퇴계로 243 (석사동),37.87638491,127.7522669,033-261-1828,2025-02-10
동인당한의원,한의원,강원특별자치도 춘천시 후석로 16 (석사동),37.86222188,127.7310597,033-264-7575,2025-02-10
한중한의원,한의원,강원특별자치도 춘천시 후석로 300 (후평동),37.88184493,127.7480337,033-252-1075,2025-02-10
석사한섬한의원,한의원,강원특별자치도 춘천시 후석로 41 (석사동),37.86095812,127.7279592,033-262-1025,2025-02-10
소림한의원,한의원,"강원특별자치도 춘천시 삭주로 89-4, 현대상가 1층 101호 (후평동)",37.8785311,127.7251501,033-264-7533,2025-02-10
길한의원,한의원,강원특별자치도 춘천시 중앙로 82-1 (중앙로2가),37.86792307,127.720173,033-241-8330,2025-02-10
경희장수한의원,한의원,강원특별자치도 춘천시 춘천로 181 (운교동),37.85645487,127.7398961,033-241-0061,2025-02-10
태인한의원,한의원,강원특별자치도 춘천시 공지로 350 (효자동),37.8693785,127.7292277,033-256-8275,2025-02-10
육림한의원,한의원,강원특별자치도 춘천시 금강로 102 (운교동),37.85675111,127.7402781,033-254-2222,2025-02-10
대추나무한의원,한의원,강원특별자치도 춘천시 후석로 277 (후평동),37.85680144,127.7415814,033-255-1075,2025-02-10
벽촌한의원,한의원,강원특별자치도 춘천시 영서로 2788 (우두동),37.87858189,127.740675,033-242-6955,2025-02-10
동일한의원,한의원,강원특별자치도 춘천시 소양로 166 (소양로2가),37.87354456,127.7220501,033-254-3383,2025-02-10
성진한의원,한의원,강원특별자치도 춘천시 중앙로 75 (중앙로2가),37.88787572,127.7249553,033-256-9977,2025-02-10
방희균한의원,한의원,강원특별자치도 춘천시 방송길 98 (온의동),37.88385781,127.7411185,033-241-6144,2025-02-10
영광한의원,한의원,강원특별자치도 춘천시 남춘로 31 (퇴계동),37.87016814,127.727722,033-251-2004,2025-02-10
성신한의원,한의원,강원특별자치도 춘천시 춘천로81번길 42 (약사동),37.87660869,127.7308479,033-253-7999,2025-02-10
동제한의원,한의원,강원특별자치도 춘천시 공지로 334 (효자동),37.86412845,127.7310299,033-253-4577,2025-02-10
경희한의원,한의원,강원특별자치도 춘천시 동내면 춘천순환로 58,37.85504339,127.7503448,033-253-0392,2025-02-10
365열린약국,약국,강원특별자치도 춘천시 중앙로 55 (중앙로2가),37.87627006,127.7340874,033-255-9997,2025-02-10
별빛약국,약국,"강원특별자치도 춘천시 영서로 2195, 1층 (퇴계동)",37.86670605,127.7113256,070-7176-1633,2025-02-10
호랑이약국,약국,"강원특별자치도 춘천시 스포츠타운길 494, 1층 101호 (온의동)",37.86032141,127.7286133,033-910-8860,2025-02-10
365대형약국,약국,"강원특별자치도 춘천시 동내면 영서로 1794, 1층",37.77147159,127.7667276,,2025-02-10
사랑온약국,약국,"강원특별자치도 춘천시 방송길 98-1, 2층 (온의동)",37.87396668,127.7674174,033-910-9771,2025-02-10
맘편한약국,약국,"강원특별자치도 춘천시 스포츠타운길 496, B103호 (온의동)",37.86683342,127.7117387,033-251-7373,2025-02-10
춘천태평양대형약국,약국,강원특별자치도 춘천시 동면 서부대성로 464,37.86777897,127.7204033,033-818-1112,2025-02-10
다나약국,약국,"강원특별자치도 춘천시 후석로 6, 1층 (석사동)",37.90754171,127.7340783,033-244-2228,2025-02-10
참약사 더원약국,약국,"강원특별자치도 춘천시 우두1길 87, 1층 103호 (우두동)",37.90892058,127.7335637,033-241-2223,2025-02-10
나무약국,약국,"강원특별자치도 춘천시 후석로 294, 1층 1호 (후평동)",37.85555459,127.739172,033-251-5119,2025-02-10
우리두리온누리약국,약국,"강원특별자치도 춘천시 우두1길 17, 우리  프라자 1층 101,102호 (우두동)",37.91136387,127.7385575,033-252-5222,2025-02-10
큰나무대형약국,약국,강원특별자치도 춘천시 동면 춘천순환로 763,37.8689454,127.7214613,033-251-8119,2025-02-10
타워온누리약국,약국,"강원특별자치도 춘천시 방송길 77, 상가동 2층 2228~2229호 (온의동, 춘천 센트럴타워 푸르지오)",37.87757509,127.7520015,033-255-3300,2025-02-10
바른약국,약국,"강원특별자치도 춘천시 우두1길 101, 112호 (우두동)",37.85121852,127.7360335,033-253-0188,2025-02-10
매일여는온누리약국,약국,"강원특별자치도 춘천시 안마산로 97, 101호 (퇴계동)",37.86483892,127.7328146,033-244-1005,2025-02-10
신우약국,약국,"강원특별자치도 춘천시 김유정로 1852-35, 1층 101호 (퇴계동)",37.90668729,127.7521338,033-261-6400,2025-02-10
웰약국,약국,"강원특별자치도 춘천시 효석로 5, 1층 (효자동)",37.85506391,127.7265138,033-261-1172,2025-02-10
남춘천대형약국,약국,강원특별자치도 춘천시 신동면 김유정로 1634,37.87935126,127.7292395,033-262-9328,2025-02-10
메리트약국,약국,"강원특별자치도 춘천시 안마산로 111, 1층 (퇴계동)",37.85649915,127.7293268,033-242-3773,2025-02-10
대형춘천백화점약국,약국,"강원특별자치도 춘천시 신동면 김유정로 1668, H동 1층",37.85706617,127.7393653,033-261-8878,2025-02-10
진약국,약국,"강원특별자치도 춘천시 춘천로17번길 31, 더스위트캐슬 1층 126호 (온의동)",37.86718345,127.7186257,033-255-8276,2025-02-10
참약국,약국,"강원특별자치도 춘천시 안마산로 107, 1층 (퇴계동)",37.83328383,127.7290643,033-241-8789,2025-02-10
믿음약국,약국,"강원특별자치도 춘천시 퇴계로 188, 1층 105호 (석사동)",37.855637,127.7286269,033-263-5653,2025-02-10
청솔약국,약국,"강원특별자치도 춘천시 금강로 67-1, 1층 (조양동)",37.83583399,127.7315354,033-251-3981,2025-02-10
우두온누리약국,약국,"강원특별자치도 춘천시 사우로 38, 1층 102호 (사농동)",37.87029257,127.7249929,033-255-8275,2025-02-10
사랑약국,약국,"강원특별자치도 춘천시 안마산로 109, 1층 (퇴계동)",37.90669944,127.7287733,033-251-5559,2025-02-10
우리약국,약국,강원특별자치도 춘천시 춘천로 68 (효자동),37.8544978,127.72755,033-244-4765,2025-02-10
강남푸른약국,약국,"강원특별자치도 춘천시 경춘로 2362, 101호 (온의동)",37.87912496,127.7292619,033-912-6111,2025-02-10
포스코약국,약국,"강원특별자치도 춘천시 보안길 65, 엠타워 1층 101호 (후평동)",37.85632396,127.7389642,033-243-7117,2025-02-10
맑은온누리약국,약국,강원특별자치도 춘천시 중앙로 116 (소양로4가),37.88021676,127.7503507,033-252-2070,2025-02-10
건강 약국,약국,강원특별자치도 춘천시 서부대성로227번길 15-18 (효자동),37.87408374,127.7447896,033-253-5777,2025-02-10
하나약국,약국,"강원특별자치도 춘천시 남춘천새길 42, 상가동 101호 (석사동, 세경5차아파트)",37.86753246,127.7208393,033-264-0019,2025-02-10
윤슬약국,약국,"강원특별자치도 춘천시 후석로 7, 1층 (석사동)",37.86602661,127.7209037,033-262-6207,2025-02-10
강원온누리약국,약국,강원특별자치도 춘천시 금강로 69 (조양동),37.87675093,127.7222567,033-252-4249,2025-02-10
춘천대형약국,약국,강원특별자치도 춘천시 동면 한솔만천로 18,37.86426857,127.7205445,033-252-7585,2025-02-10
손약국,약국,강원특별자치도 춘천시 춘천로 7 (온의동),37.87585435,127.7739026,033-257-0999,2025-02-10
드림약국,약국,"강원특별자치도 춘천시 방송길 104, 5층 (온의동)",37.86350653,127.7372487,033-253-7588,2025-02-10
정문약국,약국,"강원특별자치도 춘천시 백령로 152, 1층 (효자동)",37.8824849,127.7478134,033-252-1414,2025-02-10
가나약국,약국,강원특별자치도 춘천시 후석로 355 (후평동),37.86830986,127.715874,033-255-3336,2025-02-10
행복한약국,약국,"강원특별자치도 춘천시 동내면 춘천순환로 64, 102호",37.87970091,127.7272179,033-253-6410,2025-02-10
우리온누리약국,약국,"강원특별자치도 춘천시 퇴계로 243, 1층 (석사동)",37.85569789,127.7455406,070-7553-0412,2025-02-10
은행약국,약국,"강원특별자치도 춘천시 동면 춘천로 457, 1층",37.90115811,127.7284725,033-241-7606,2025-02-10
명인약국,약국,강원특별자치도 춘천시 영서로 2777 (우두동),37.87414364,127.7445776,033-243-8279,2025-02-10
수온누리약국,약국,강원특별자치도 춘천시 영서로 2341 (온의동),37.87515086,127.7436189,033-244-1103,2025-02-10
튼튼약국,약국,강원특별자치도 춘천시 후석로 352 (후평동),37.8820781,127.7486535,033-256-9631,2025-02-10
