순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
140,춘천후평일반산업단지,2218115827,070-8895-7342,4,"시스템구축, s/w개발","강원특별자치도 춘천시 후석로462번길 7, 2층 204호 (후평동) 2층 204호 외 1필지",컴퓨터 프로그래밍 서비스업 외 2 종,2025-02-06
141,춘천후평일반산업단지,7478702165,070-8895-7349,6,"화장품(스킨, 로션, 앰플 등)","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 423호",화장품 제조업,2025-02-06
142,춘천퇴계농공단지,1308146868,033-250-4813,165,기초화장품,강원특별자치도 춘천시 퇴계공단1길 21-12 (퇴계동) 외 1필지,화장품 제조업,2025-02-06
143,춘천후평일반산업단지,4698103428,070-8895-7342,1,s/w개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 206호 (후평동) 2층 206호",응용 소프트웨어 개발 및 공급업,2025-02-06
144,춘천후평일반산업단지,7578600056,033-250-3647,8,"문화예술 관련 홍보 플랫폼 제작 및 운영, 음료, 디저트및 외식 출장케이터링","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 431호 외 1필지","전시, 컨벤션 및 행사 대행업",2025-02-06
145,춘천후평일반산업단지,2218517920,033-250-4225,10,생물의약품 및 CRMO,"강원특별자치도 춘천시 소양강로 56, 4동 1층 2-4~2-6, 3-1~3-4, 지하일부 (후평동, 춘천바이오벤처프라자) 4동 1층 2-4~2-6, 3-1~3-4, 지하일부호",의약용 화합물 및 항생물질 제조업 외 2 종,2025-02-06
146,춘천동춘천일반산업단지,3028508768,033-250-4225,217,의약품,강원특별자치도 춘천시 동산면 원무동길 125,완제 의약품 제조업 외 2 종,2025-02-06
147,춘천후평일반산업단지,8918100875,070-8895-7342,13,"창상피복재, 세포치료제, 세포배양액","강원특별자치도 춘천시 소양강로 32, 춘천바이오산업진흥원 BIO-1동, 312호 (후평동)",그 외 기타 의료용 기기 제조업 외 1 종,2025-02-06
148,춘천후평일반산업단지,7898102852,033-250-4452,1,주방용 전기기기,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 536호",기타 가정용 전기기기 제조업,2025-02-06
149,춘천후평일반산업단지,7888701395,033-250-4051,8,체외진단 의료기기,"강원특별자치도 춘천시 소양강로 32 (후평동) BIO-2동, 308호",의료용품 및 기타 의약 관련제품 제조업,2025-02-06
150,춘천후평일반산업단지,7878600339,033-250-4051,6,실험기자재 및 시약,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 231호 외 1필지",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
151,춘천퇴계농공단지,2218512338,033-250-3361,25,"이롬생식45,이롬황성주생식","강원특별자치도 춘천시 퇴계농공로 111 (퇴계동, 이롬)",건강기능식품 제조업,2025-02-06
152,춘천퇴계농공단지,2218114809,,0,임대업,"강원특별자치도 춘천시 퇴계공단1길 11, 주식회사 인강 (퇴계동)",그 외 기타 분류 안된 금속 가공 제품 제조업,2025-02-06
153,춘천후평일반산업단지,1718803097,070-8895-7349,2,"데스크톱 컴퓨터, 모니터","강원특별자치도 춘천시 후석로420번길 7, 7층 714호 (후평동) 7층 714호",컴퓨터 제조업,2025-02-06
154,춘천퇴계농공단지,2218124442,033-250-3361,10,토너카트리지,"강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동, 아주택배)",감광재료 및 관련 화학제품 제조업 외 1 종,2025-02-06
155,춘천후평일반산업단지,1418801031,033-250-3647,2,학술연구서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 525호",기타 인문 및 사회과학 연구개발업,2025-02-06
156,춘천거두농공단지,1328101004,070-8895-7349,248,"의약품,인삼제품","강원특별자치도 춘천시 동내면 거두단지2길 55, (주)일화",인삼식품 제조업 외 5 종,2025-02-06
157,춘천퇴계농공단지,2218144394,033-250-3088,28,오이피클,"강원특별자치도 춘천시 퇴계공단1길 68 (퇴계동, (주)청미원)",김치류 제조업 외 1 종,2025-02-06
158,춘천퇴계농공단지,2218111933,070-8895-7342,6,"디자인형 울타리,금속재기타울타리",강원특별자치도 춘천시 퇴계농공로 108 (퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",2025-02-06
159,춘천퇴계농공단지,5658103293,070-8895-7342,1,알루미늄 창호,"강원특별자치도 춘천시 퇴계농공로 87, 101호 (퇴계동)","금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
160,춘천후평일반산업단지,2218114944,,8,"금속창,문","강원특별자치도 춘천시 삭주로145번길 79 (후평동, 화인과학)","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2025-02-06
161,춘천후평일반산업단지,2218118877,033-250-4051,0,가방,강원특별자치도 춘천시 후석로420번길 26 (후평동),가방 및 기타 보호용 케이스 제조업,2025-02-06
162,춘천후평일반산업단지,2428701598,033-250-4051,5,특수아스팔트 첨가제 배합 및 소포장,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 332호",그 외 기타 플라스틱 제품 제조업,2025-02-06
163,춘천후평일반산업단지,5878801479,033-250-4452,2,"핵산추출시약, 유전자 검사시약","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 513호 외 1필지",생물학적 제제 제조업,2025-02-06
164,춘천동춘천일반산업단지,5088800195,033-250-4051,11,종량제봉투,"강원특별자치도 춘천시 동산면 원무동길 82-27, 젠펜테크",기체 여과기 제조업,2025-02-06
165,춘천후평일반산업단지,2218143605,070-8895-7349,0,설계용역서비스,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 9층 905호",도시계획 및 조경설계 서비스업,2025-02-06
166,춘천후평일반산업단지,3228700653,070-8895-7342,3,"자료처리, DB구축","강원특별자치도 춘천시 후석로462번길 7, 4층 418호 (후평동) 4층 418호",자료 처리업 외 1 종,2025-02-06
167,춘천퇴계농공단지,2218127037,033-250-3361,8,도시락,"강원특별자치도 춘천시 퇴계공단길 54, (주)조은푸드서비스 (퇴계동)",도시락류 제조업 외 1 종,2025-02-06
168,춘천후평일반산업단지,2218110934,033-250-3361,12,계육제품(닭갈비),강원특별자치도 춘천시 후석로462번길 34 (후평동),가금류 가공 및 저장 처리업,2025-02-06
169,춘천후평일반산업단지,4688600516,,6,얼음,"강원특별자치도 춘천시 삭주로145번길 50 (후평동, 대한식품유통)",얼음 제조업,2025-02-06
170,춘천후평일반산업단지,2218147052,033-250-3647,2,"도서, 출판","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 310호",일반 서적 출판업,2025-02-06
171,춘천후평일반산업단지,7148802731,070-8895-7349,7,"진단기기, 체외진단의료기기, 측정기기","강원특별자치도 춘천시 후석로462번길 7, 2층 202호 (후평동) 2층 202호 외 1필지",전기식 진단 및 요법 기기 제조업 외 2 종,2025-02-06
172,춘천도시첨단문화산업단지,2218133219,,54,"D-DAS, XEUS",강원특별자치도 춘천시 서면 금산리 1017번지,시스템 소프트웨어 개발 및 공급업,2025-02-06
173,춘천후평일반산업단지,2218139886,070-8895-7342,8,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 213호 (후평동) 2층 213호",응용 소프트웨어 개발 및 공급업,2025-02-06
174,남춘천일반산업단지,6678700459,033-250-4225,15,"기초화장품 및 기능성 화장품, 마스크팩",강원특별자치도 춘천시 동산면 종자리로 33-51,화장품 제조업,2025-02-06
175,퇴계제2농공단지,7498502532,070-8895-7349,2,금속창호,강원특별자치도 춘천시 퇴계공단2길 35 (퇴계동),구조용 금속 판제품 및 공작물 제조업 외 1 종,2025-02-06
176,춘천동춘천일반산업단지,4098653713,070-8895-7349,45,막걸리,강원특별자치도 춘천시 동산면 원무동길 82-25 외 2필지,탁주 및 약주 제조업,2025-02-06
177,춘천후평일반산업단지,1298661791,033-250-4051,2,"친환경 천연내벽제,천연페인트첨가제","강원특별자치도 춘천시 후석로462번길 21,  4동2호 (후평동)",그 외 기타 분류 안된 비금속 광물제품 제조업 외 6 종,2025-02-06
178,춘천퇴계농공단지,6908101271,,0,"화장품, 비누",강원특별자치도 춘천시 퇴계농공로 85 (퇴계동),화장품 제조업 외 1 종,2025-02-06
179,춘천퇴계농공단지,,033-250-3647,7,"유선 통신장비 등, 보안용카메라, 구내방송장치, 소프트웨어","강원특별자치도 춘천시 퇴계농공로 87, 409호(퇴계동)",유선 통신장비 제조업 외 7 종,2025-02-06
180,춘천후평일반산업단지,2218138081,033-250-4051,7,진단시트,"강원특별자치도 춘천시 소양강로 32 (후평동) 바이오1동 202-2, 202-1, 204, 211",의료용품 및 기타 의약 관련제품 제조업,2025-02-06
181,남춘천일반산업단지,2218138081,,9,"진단시약, 소변검사기, 혈당기 등","강원특별자치도 춘천시 소양강로 32, 302 (후평동)",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
182,춘천퇴계농공단지,2218514772,,7,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
183,춘천퇴계농공단지,3178800658,033-250-4225,5,"샤시,가구,블라인드",강원특별자치도 춘천시 퇴계공단1길 17 (퇴계동),플라스틱 창호 제조업 외 4 종,2025-02-06
184,춘천후평일반산업단지,2218128642,033-250-3647,10,환경 관련 연구용역,"강원특별자치도 춘천시 후석로420번길 7, 1동 3층 323호(후평동) 1동 3층 323호",자연과학 및 공학 융합 연구개발업,2025-02-06
185,춘천후평일반산업단지,8948701948,070-8895-7342,5,전선,"강원특별자치도 춘천시 후석로420번길 7, 1층 110호 (후평동) 1층 110호",기타 절연선 및 케이블 제조업,2025-02-06
186,춘천후평일반산업단지,5778801040,033-250-4051,11,신약후보 물질 및 천연추출물,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 611호 외 1필지",의약용 화합물 및 항생물질 제조업,2025-02-06
187,춘천후평일반산업단지,,070-8895-7342,1,연구소,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
188,춘천후평일반산업단지,1148618725,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 56, 5동 3층 302호호  (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
189,춘천퇴계농공단지,4118700569,,9,배제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
190,춘천창촌농공단지,2218142552,,5,로스터(구이기),강원특별자치도 춘천시 남산면 보매기길 82 ((주)선양),금속선 가공제품 제조업 외 1 종,2025-02-06
191,춘천퇴계농공단지,2218144389,033-250-4225,6,무대기계,강원특별자치도 춘천시 퇴계농공로 85 (퇴계동),그 외 기타 특수목적용 기계 제조업 외 1 종,2025-02-06
192,춘천퇴계농공단지,4308703271,070-8895-7342,3,"LED경관조명, 전시 및 광고용 조명장치, 간판 및 광고물, 전시용 모형","강원특별자치도 춘천시 퇴계농공로 87, 310호 (퇴계동)",일반용 전기 조명장치 제조업 외 3 종,2025-02-06
193,춘천퇴계농공단지,2218136569,033-250-4051,4,산업조형물,"강원특별자치도 춘천시 퇴계농공로 96, A-1동 (퇴계동)",간판 및 광고물 제조업 외 1 종,2025-02-06
194,춘천후평일반산업단지,,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)",전기ㆍ전자공학 연구개발업,2025-02-06
195,춘천퇴계농공단지,,,15,"자동제어,LED전광판,방송장비, CCTV","강원특별자치도 춘천시 퇴계공단1길 57, [1층, 2층](퇴계동)",기타 주변기기 제조업 외 13 종,2025-02-06
196,춘천후평일반산업단지,2218145660,033-250-4051,7,FS-바실이 ,강원특별자치도 춘천시 소양강로 56 (후평동) 바이오5동 3층 306호,유기질 비료 및 상토 제조업 외 5 종,2025-02-06
197,춘천거두농공단지,1248604801,033-250-4051,32,건강기능식품,"강원특별자치도 춘천시 동내면 거두단지2길 50, (주)팜크로스",건강기능식품 제조업,2025-02-06
198,춘천후평일반산업단지,7328603243,070-8895-7349,1,화장품(구옥 엑소좀 스킨 부스트 솔루션),"강원특별자치도 춘천시 소양강로 32, 바이오-1동 315호, 205호 (후평동)",화장품 제조업,2025-02-06
199,춘천퇴계농공단지,3388101451,033-250-4051,1,플라즈마 제품 및 전자교탁,"강원특별자치도 춘천시 퇴계공단1길 57, 1층 (퇴계동)",반도체 제조용 기계 제조업,2025-02-06
200,춘천퇴계농공단지,7248702804,070-8895-7349,3,CCTV,강원특별자치도 춘천시 퇴계공단1길 51 (퇴계동),방송장비 제조업,2025-02-06
201,춘천당림농공단지,2218122819,070-8895-7349,105,"두부,얼음",강원특별자치도 춘천시 서면 당숲안길 157 (풀무원제이생면공장),두부 및 유사식품 제조업 외 1 종,2025-02-06
202,춘천후평일반산업단지,2218102040,033-250-3092,24,어육연제품,"강원특별자치도 춘천시 삭주로 157 (후평동, 하나식품)",기타 수산동물 가공 및 저장 처리업 외 1 종,2025-02-06
203,춘천후평일반산업단지,5168600469,033-250-3647,4,"수공예 재료, 콘텐","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 409호 외 1필지",방송 프로그램 제작업 외 1 종,2025-02-06
204,춘천후평일반산업단지,4288700835,070-8895-7349,6,"항원·항체(치료제, 화장품 원료), 진단키트","강원특별자치도 춘천시 소양강로 32, 바이오-1동 310호, 404호, 405호, 416호 (후평동)",의료용품 및 기타 의약 관련제품 제조업,2025-02-06
205,춘천퇴계농공단지,2218138631,070-8895-7349,3,냉방기기용배수펌프,"강원특별자치도 춘천시 퇴계공단1길 21-2 (퇴계동, 하이텍)",유압기기 제조업,2025-02-06
206,춘천후평일반산업단지,2148854097,070-8895-7349,3,구조컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 623호",건물 및 토목 엔지니어링 서비스업 외 1 종,2025-02-06
207,춘천창촌농공단지,2218119916,033-250-3088,8,수처리기,강원특별자치도 춘천시 남산면 보매기길 69,그 외 기타 특수목적용 기계 제조업 외 13 종,2025-02-06
208,춘천동춘천일반산업단지,1238602076,,10,Crusher & Mill - 분체관련 장비제작,,그 외 기타 특수목적용 기계 제조업 외 6 종,2025-02-06
209,춘천퇴계농공단지,1268647655,033-250-4225,1,버섯 추출물(화장품 연료),강원특별자치도 춘천시 퇴계공단1길 23 (퇴계동),그 외 기타 분류 안된 화학제품 제조업,2025-02-06
210,춘천창촌농공단지,2218018275,033-250-4051,4,합성수지제품(쓰레기종량제봉투외),"강원특별자치도 춘천시 남산면 보매기길 63, 주식회사 한국편의시설산업",플라스틱 필름 제조업 외 1 종,2025-02-06
211,춘천거두농공단지,7798500888,,52,여성용의류,강원특별자치도 춘천시 동내면 거두단지1길 50,여자용 겉옷 제조업,2025-02-06
212,퇴계제2농공단지,3108522835,070-8895-7342,2,기타 플라스틱 포대,강원특별자치도 춘천시 퇴계공단2길 35 (퇴계동),"플라스틱 포대, 봉투 및 유사제품 제조업",2025-02-06
213,춘천후평일반산업단지,2498602650,070-8895-7349,20,환경영향평가 등,"강원특별자치도 춘천시 소양강로 10, 6층 624호 (후평동) 6층 624호",환경 관련 엔지니어링 서비스업,2025-02-06
214,춘천후평일반산업단지,4738602840,070-8895-7342,1,"s/w개발, 영상, 행사기획","강원특별자치도 춘천시 후석로462번길 7, 3층 312호 (후평동) 3층 312호",응용 소프트웨어 개발 및 공급업 외 2 종,2025-02-06
215,춘천퇴계농공단지,,070-8895-7349,5,"미끄럼방지포장재, 도막형바닥재, 우레탄수지","강원특별자치도 춘천시 퇴계공단길 49-7, E동 3호(퇴계동)",합성수지 및 기타 플라스틱 물질 제조업 외 3 종,2025-02-06
216,춘천퇴계농공단지,1248618305,033-250-4051,7,"가로등, 안정기, LED등",강원특별자치도 춘천시 퇴계농공로 85 (퇴계동),육상 금속 골조 구조재 제조업 외 5 종,2025-02-06
217,춘천후평일반산업단지,2218135672,033-250-3361,3,원두커피,강원특별자치도 춘천시 후석로462번길 54 (후평동),커피 가공업,2025-02-06
218,춘천후평일반산업단지,6258502522,070-8895-7342,3,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 208호 (후평동) 2층 208호",시스템 소프트웨어 개발 및 공급업 외 1 종,2025-02-06
219,춘천거두농공단지,3058182022,070-8895-7349,23,"메노락토, 사군자추출분말, TAM-100, 이스트컬처",강원특별자치도 춘천시 동내면 거두단지2길 14,건강기능식품 제조업 외 3 종,2025-02-06
220,춘천후평일반산업단지,4378800739,070-8895-7349,8,체외진단의료기기,"강원특별자치도 춘천시 소양강로 32, 바이오-1동 217호 (후평동)",그 외 기타 의료용 기기 제조업,2025-02-06
221,춘천후평일반산업단지,5878101238,070-8895-7342,7,"홍보영상, 디자인","강원특별자치도 춘천시 후석로462번길 7, 3층 309호 (후평동) 3층 309호",광고 영화 및 비디오물 제작업 외 2 종,2025-02-06
222,퇴계제2농공단지,2218114978,070-8895-7349,79,"CCTV POLL, 금속제 울타리, LED안내전광판",,유선 통신장비 제조업 외 4 종,2025-02-06
223,춘천후평일반산업단지,7860802092,033-250-3647,1,4D 도면설계 서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 624호",컴퓨터 프로그래밍 서비스업,2025-02-06
224,춘천후평일반산업단지,5250202307,033-250-3655,0,소프트웨어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 701호",시스템 소프트웨어 개발 및 공급업,2025-02-06
225,춘천후평일반산업단지,5258102409,033-250-4051,1,화장품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 705호",화장품 제조업,2025-02-06
226,춘천후평일반산업단지,4268100972,033-250-4452,20,육류 포장육 와규 갈비살 외,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 406호 외 1필지",육류 포장육 및 냉동육 가공업 (가금류 제외),2025-02-06
227,퇴계제2농공단지,4860100967,,3,식용류지류,,식물성 유지 제조업 외 1 종,2025-02-06
228,춘천후평일반산업단지,7251401600,033-250-3647,1,건축설계 관련서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 824호",건축설계 및 관련 서비스업,2025-02-06
229,춘천후평일반산업단지,5581401752,033-250-3655,0,제품 디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 625호",제품 디자인업,2025-02-06
230,춘천도시첨단문화산업단지,2218206188,,0,방송영상,강원특별자치도 춘천시 서면 박사로 892,라디오 방송업,2025-02-06
231,춘천후평일반산업단지,2218102394,,0,도시가스,"강원특별자치도 춘천시 삭주로 163, 강원도시가스(주) (후평동)",연료용 가스 제조 및 배관공급업,2025-02-06
232,춘천후평일반산업단지,2218102394,,0,CNG,"강원특별자치도 춘천시 공단로 86, 강원도시가스충전소 (후평동)",연료용 가스 제조 및 배관공급업,2025-02-06
233,춘천퇴계농공단지,2218202542,,130,혈액제제,"강원특별자치도 춘천시 퇴계공단1길 8 (퇴계동, 대한적십자사강원혈액원)",그 외 기타 보건업,2025-02-06
234,춘천후평일반산업단지,8428200341,,0,"연구용역, 서비스업",강원특별자치도 춘천시 삭주로145번길 46 (후평동),기타 전문 서비스업,2025-02-06
235,춘천퇴계농공단지,2210633639,,11,비제조업 택배,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),택배업,2025-02-06
236,춘천후평일반산업단지,1588703516,070-8895-7342,2,"무인카메라, 교통신호기, 교통신호제어기, 전기경보 및 신호장",강원특별자치도 춘천시 소양강로 10 3층 317호,교통 신호장치 제조업 외 3 종,2025-02-06
237,춘천후평일반산업단지,1210454096,033-250-4051,3,"교육용 암석, 방편 및 현미경시료","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 1층 104호 외 1필지","물질 검사, 측정 및 분석기구 제조업",2025-02-06
238,춘천후평일반산업단지,2212666050,033-250-3647,4,폐차,"강원특별자치도 춘천시 삭주로145번길 35 (후평동, 강원폐차산업)",금속류 해체 및 선별업 외 1 종,2025-02-06
239,춘천창촌농공단지,5568800587,,28,전선,강원특별자치도 춘천시 남산면 보매기길 88,기타 절연선 및 케이블 제조업 외 1 종,2025-02-06
240,춘천후평일반산업단지,7598200239,033-250-4452,4,인테리어 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 503호",인테리어 디자인업,2025-02-06
241,춘천후평일반산업단지,5488800062,070-8895-7349,3,"향료제품, 향수, 식물추출물 등","강원특별자치도 춘천시 소양강로 56, BIO-5동 201호 (후평동) BIO-5동 201호","치약, 비누 및 기타 세제 제조업",2025-02-06
242,춘천퇴계농공단지,2211082535,070-8895-7349,3,안전표지판 및 안전시설물,강원특별자치도 춘천시 퇴계공단길 64(퇴계동),간판 및 광고물 제조업,2025-02-06
243,춘천창촌농공단지,2218123803,033-250-3655,9,"자동제어반, 전광판",강원특별자치도 춘천시 남산면 보매기길 74,비디오 및 기타 영상기기 제조업 외 4 종,2025-02-06
244,춘천퇴계농공단지,2211031808,,5,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
245,춘천후평일반산업단지,4721202190,033-250-3647,0,건축 설계,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 620호",건축설계 및 관련 서비스업,2025-02-06
246,춘천후평일반산업단지,2010304158,033-250-4452,3,건축설계및 관련서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 817호",건축설계 및 관련 서비스업,2025-02-06
247,춘천퇴계농공단지,6678703081,033-250-4051,3,함석형 닥트,"강원특별자치도 춘천시 퇴계농공로 87, 창조종합이엔지(주) (퇴계동)",구조용 금속 판제품 및 공작물 제조업,2025-02-06
248,춘천후평일반산업단지,4553501064,033-250-4452,2,컨설팅,"강원특별자치도 춘천시 소양강로 10, 802호 (후평동)",경영 컨설팅업,2025-02-06
249,춘천후평일반산업단지,4670602237,033-250-3647,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, B&I 713호 (후평동)",경영 컨설팅업,2025-02-06
250,춘천후평일반산업단지,7770502312,070-8895-7349,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 418호",경영 컨설팅업,2025-02-06
251,춘천후평일반산업단지,5350801651,033-250-4452,1,인테리어 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 1층 106호 외 1필지",인테리어 디자인업,2025-02-06
252,춘천후평일반산업단지,7378802369,070-8895-7349,2,"씽크대, 붙박이장, 사무용가구",강원특별자치도 춘천시 공단로 49 (후평동),주방용 및 음식점용 목재가구 제조업,2025-02-06
253,춘천후평일반산업단지,2954400510,033-250-4051,1,목적용기계,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 537호 외 1필지",그 외 기타 일반목적용 기계 제조업,2025-02-06
254,춘천후평일반산업단지,3951901345,033-250-3647,1,"비주거용 건물 임대, 광고물 문안, 도안, 설계 등 작성","강원특별자치도 춘천시 후석로420번길 7, 1동 3층 306호(후평동) 1동 3층 306호 외 1필지",비주거용 건물 임대업 외 1 종,2025-02-06
255,춘천퇴계농공단지,2210526790,033-250-3361,2,닭갈비,강원특별자치도 춘천시 퇴계공단1길 43 (퇴계동),가금류 가공 및 저장 처리업,2025-02-06
256,춘천퇴계농공단지,2212265693,033-250-4051,7,어린이 놀이기구,강원특별자치도 춘천시 퇴계공단길 56 (퇴계동),놀이터용 장비 제조업,2025-02-06
257,춘천후평일반산업단지,6828101722,,5,면류,강원특별자치도 춘천시 후석로462번길 21 (후평동),"면류, 마카로니 및 유사식품 제조업 외 1 종",2025-02-06
258,춘천후평일반산업단지,2211175098,033-250-4051,4,OLED화합물,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 903호",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
259,춘천후평일반산업단지,8863501064,033-250-3647,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 403호",경영 컨설팅업,2025-02-06
260,춘천후평일반산업단지,4462400798,,1,"비동력농기구제조, 오븐제조(바베큐그릴)","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 619호",비동력식 수공구 제조업 외 1 종,2025-02-06
261,춘천후평일반산업단지,5861800931,033-250-4051,3,"마스크, 침구류",강원특별자치도 춘천시 후석로462번길 21 (후평동),침구 및 관련제품 제조업,2025-02-06
262,춘천퇴계농공단지,1500202082,033-250-4051,0,"피톤치드,방향제,탈취제","강원특별자치도 춘천시 퇴계농공로 87, 501호(퇴계동)",표면광택제 및 실내가향제 제조업,2025-02-06
263,춘천후평일반산업단지,2212962531,033-0250-4813,10,창고업(물류),강원특별자치도 춘천시 삭주로145번길 81 (후평동),일반 창고업,2025-02-06
264,춘천퇴계농공단지,2210435370,,6,건설장비부품,"강원특별자치도 춘천시 퇴계공단길 65 (퇴계동, 극동건설기계종합정비공장)",건설 및 채광용 기계장비 제조업,2025-02-06
265,춘천후평일반산업단지,2873700433,033-250-3655,1,"의원(병원) 개원 및 경영컨설팅(입지, 장비, 기재, 인테리어, 세무 등)","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 606호",경영 컨설팅업,2025-02-06
266,춘천후평일반산업단지,1784001254,070-8895-7349,1,광고 대행,"강원특별자치도 춘천시 소양강로 10, 6층 627호  (후평동) 6층 627호",광고 대행업,2025-02-06
267,춘천후평일반산업단지,2210719954,033-250-3361,15,가구,"강원특별자치도 춘천시 삭주로 151 (후평동, (주)한별시스템)",기타 목재가구 제조업,2025-02-06
268,퇴계제2농공단지,1400493111,,7,"수증펌프, 원심펌프, 그외 기타 금속 가공",,그 외 기타 금속가공업 외 6 종,2025-02-06
269,춘천퇴계농공단지,1400493111,,6,"수중펌프,원심펌프등",강원특별자치도 춘천시 퇴계공단1길 5(퇴계동),그 외 기타 금속가공업 외 6 종,2025-02-06
270,춘천후평일반산업단지,,033-250-3655,0,인테리어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 408호",인테리어 디자인업,2025-02-06
271,춘천후평일반산업단지,7773200886,033-250-3655,0,중개,"강원특별자치도 춘천시 소양강로 10,(후평동) 1동 6층 608호",경영 컨설팅업,2025-02-06
272,춘천퇴계농공단지,2727600371,033-250-4051,3,"자동제어반, PLC제어반, DDC제어반","강원특별자치도 춘천시 퇴계농공로 87, 5층 510호(퇴계동)",배전반 및 전기 자동제어반 제조업 외 1 종,2025-02-06
273,춘천후평일반산업단지,8115400572,070-8895-7349,0,연구보고서,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 518호",기타 인문 및 사회과학 연구개발업,2025-02-06
274,춘천후평일반산업단지,8732201582,033-250-3647,1,비거주용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 3층 302호(후평동) 1동 3층 302호",비주거용 건물 임대업,2025-02-06
275,춘천퇴계농공단지,2240194703,070-8895-7342,4,인쇄,강원특별자치도 춘천시 퇴계공단1길 51 (퇴계동),경 인쇄업,2025-02-06
276,춘천후평일반산업단지,2238101130,033-250-3647,3,"경영 컨설팅업, 시장 조사 및 여론 조사업","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 826호",경영 컨설팅업 외 1 종,2025-02-06
277,춘천동춘천일반산업단지,8118701716,,40,감자빵,,빵류 제조업,2025-02-06
278,춘천후평일반산업단지,2228116332,033-250-4225,8,"파채,당근채","강원특별자치도 춘천시 후석로462번길 19, 나동 (후평동)",기타 과실ㆍ채소 가공 및 저장 처리업,2025-02-06
279,춘천후평일반산업단지,2218142756,070-8895-7349,2,구운감자,"강원특별자치도 춘천시 후석로420번길 7, 2층 235호 (후평동) 2층 235호",기타 과실ㆍ채소 가공 및 저장 처리업,2025-02-06
280,춘천후평일반산업단지,4598103038,033-250-3655,0,"탁주, 약주, 기타주류, 일반증류주","강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 2층 211호",탁주 및 약주 제조업 외 2 종,2025-02-06
